name, PosX, PosY, PosZ, ScaleX, ScaleY, ScaleZ, RotX, RotY, RotZ,,
Block,0,0.5,-14.50003,10,2,1,0,0,0,Wall,FALSE
Block,33.3,0.7,-3.000003,4,2,25,0,0,0,Wall,FALSE
Block,17,2.25,-19.75001,7.500002,5,10,0,0,0,Wall,TRUE
Block,-28.8,2,16.8,5,5,15,0,0,0,Wall,TRUE
Block,0,-0.5,0,100,0.1,50,0,0,0,Floor,TRUE
Block,51,9.5,0,2,20,50,0,0,0,Wall,TRUE
Block,-51,9.5,0,2,20,50,0,0,0,Wall,TRUE
Block,-17,2.25,-19.75001,7.500002,5,10,0,0,0,Wall,TRUE
Block,0,9.5,-26,100,20,2,0,0,0,Wall,TRUE
Block,28.8,2,16.8,5,5,15,0,0,0,Wall,TRUE
Block,-33.3,0.7,-3.000003,4,2,25,0,0,0,Wall,FALSE
Goal,0,0,-5.25,1,1,1,0,0,0,Blue,
OwnAreaObject,0,-0.499,-12.5,40,0.1,25,0,0,0,Blue,
PlayerSpawnPoint,-3,0.1,-5.5,1,1,1,0,0,0,Red,3
PlayerSpawnPoint,3,0.1,-5.5,1,1,1,0,0,0,Blue,2
PlayerSpawnPoint,-6,0.1,-5.5,1,1,1,0,0,0,Red,4
PlayerSpawnPoint,6,0.1,-5.5,1,1,1,0,0,0,Blue,0
PlayerSpawnPoint,4.5,0.1,-5.5,1,1,1,0,0,0,Blue,1
PlayerSpawnPoint,-4.5,0.1,-5.5,1,1,1,0,0,0,Red,5
