name, PosX, PosY, PosZ, ScaleX, ScaleY, ScaleZ, RotX, RotY, RotZ
Block,28.8,2,16.8,5,5,15,0,0,0,Wall,True
Block,0,0.5,-14.50003,10,2,1,0,0,0,Wall,False
Block,0,9.5,-26,100,20,2,0,0,0,Wall,True
Block,-17,2.25,-19.75001,7.500002,5,10,0,0,0,Wall,True
Block,-33.3,0.7,-3.000003,4,2,25,0,0,0,Wall,False
Block,51,9.5,0,2,20,50,0,0,0,Wall,True
Block,0,-0.5,0,100,0.1,50,0,0,0,Floor,True
Block,-51,9.5,0,2,20,50,0,0,0,Wall,True
Block,-28.8,2,16.8,5,5,15,0,0,0,Wall,True
Block,33.3,0.7,-3.000003,4,2,25,0,0,0,Wall,False
Block,17,2.25,-19.75001,7.500002,5,10,0,0,0,Wall,True
Container,-13,0,13.25,1,1,1,0,0,0,,
Container,11.5,0,13.25,1,1,1,0,0,0,,
Goal,0,0,-5.25,1,1,1,0,0,0,East
OwnAreaObject,0,-0.499,-12.5,40,0.1,25,0,0,0,East
PlayerSpawnPoint,-3.5,0.1,-5.5,1,1,1,0,0,0,West,3
PlayerSpawnPoint,-6.25,0.1,-5.5,1,1,1,0,0,0,West,4
PlayerSpawnPoint,-9,0.1,-5.5,1,1,1,0,0,0,West,5
PlayerSpawnPoint,8.75,0.1,-5.5,1,1,1,0,0,0,East,0
PlayerSpawnPoint,6,0.1,-5.5,1,1,1,0,0,0,East,1
PlayerSpawnPoint,3.25,0.1,-5.5,1,1,1,0,0,0,East,2
